question,answer
Trường Đại học Nông Lâm TP.HCM trực thuộc cơ quan nào?,"[""Trường trực thuộc Bộ Giáo dục và Đào tạo."", ""Đơn vị chủ quản của trường là Bộ Giáo dục và Đào tạo."", ""Trường được quản lý bởi Bộ Giáo dục và Đào tạo.""]"
Trường Nông Lâm TP.HCM được quản lý bởi ai?,"[""Trường trực thuộc Bộ Giáo dục và Đào tạo."", ""Đơn vị chủ quản của trường là Bộ Giáo dục và Đào tạo."", ""Trường được quản lý bởi Bộ Giáo dục và Đào tạo.""]"
Ai là cơ quan chủ quản của Trường Đại học Nông Lâm?,"[""Trường trực thuộc Bộ Giáo dục và Đào tạo."", ""Đơn vị chủ quản của trường là Bộ Giáo dục và Đào tạo."", ""Trường được quản lý bởi Bộ Giáo dục và Đào tạo.""]"
Cơ quan nào giám sát Trường Đại học Nông Lâm TP.HCM?,"[""Trường trực thuộc Bộ Giáo dục và Đào tạo."", ""Đơn vị chủ quản của trường là Bộ Giáo dục và Đào tạo."", ""Trường được quản lý bởi Bộ Giáo dục và Đào tạo.""]"
Bộ nào chịu trách nhiệm quản lý Trường Đại học Nông Lâm TP.HCM?,"[""Trường trực thuộc Bộ Giáo dục và Đào tạo."", ""Đơn vị chủ quản của trường là Bộ Giáo dục và Đào tạo."", ""Trường được quản lý bởi Bộ Giáo dục và Đào tạo.""]"
Trường Nông Lâm TP.HCM nằm ở đâu?,"[""Trường tọa lạc tại TP. Thủ Đức và TP. Dĩ An."", ""Địa điểm trường thuộc TP. Hồ Chí Minh và tỉnh Bình Dương."", ""Trường nằm ở khu vực TP. Thủ Đức và TP. Dĩ An.""]"
Trường Đại học Nông Lâm đặt tại địa phương nào?,"[""Trường tọa lạc tại TP. Thủ Đức và TP. Dĩ An."", ""Địa điểm trường thuộc TP. Hồ Chí Minh và tỉnh Bình Dương."", ""Trường nằm ở khu vực TP. Thủ Đức và TP. Dĩ An.""]"
Khuôn viên Trường Đại học Nông Lâm nằm ở đâu?,"[""Trường tọa lạc tại TP. Thủ Đức và TP. Dĩ An."", ""Địa điểm trường thuộc TP. Hồ Chí Minh và tỉnh Bình Dương."", ""Trường nằm ở khu vực TP. Thủ Đức và TP. Dĩ An.""]"
Trường Nông Lâm được xây dựng ở khu vực nào?,"[""Trường tọa lạc tại TP. Thủ Đức và TP. Dĩ An."", ""Địa điểm trường thuộc TP. Hồ Chí Minh và tỉnh Bình Dương."", ""Trường nằm ở khu vực TP. Thủ Đức và TP. Dĩ An.""]"
Trường Đại học Nông Lâm thuộc thành phố nào?,"[""Trường tọa lạc tại TP. Thủ Đức và TP. Dĩ An."", ""Địa điểm trường thuộc TP. Hồ Chí Minh và tỉnh Bình Dương."", ""Trường nằm ở khu vực TP. Thủ Đức và TP. Dĩ An.""]"
Trường Đại học Nông Lâm có diện tích bao nhiêu?,"[""Trường rộng 118 ha."", ""Diện tích của trường là 118 hecta."", ""Trường có tổng diện tích 118 ha.""]"
Diện tích khuôn viên Trường Nông Lâm là bao nhiêu?,"[""Trường rộng 118 ha."", ""Diện tích của trường là 118 hecta."", ""Trường có tổng diện tích 118 ha.""]"
Trường Nông Lâm TP.HCM rộng bao nhiêu?,"[""Trường rộng 118 ha."", ""Diện tích của trường là 118 hecta."", ""Trường có tổng diện tích 118 ha.""]"
Tổng diện tích Trường Đại học Nông Lâm là bao nhiêu?,"[""Trường rộng 118 ha."", ""Diện tích của trường là 118 hecta."", ""Trường có tổng diện tích 118 ha.""]"
Trường có khuôn viên rộng bao nhiêu?,"[""Trường rộng 118 ha."", ""Diện tích của trường là 118 hecta."", ""Trường có tổng diện tích 118 ha.""]"
Trường Đại học Nông Lâm TP.HCM có bề dày lịch sử bao nhiêu năm?,"[""Trường đã phát triển gần 70 năm."", ""Lịch sử trường kéo dài gần 70 năm."", ""Trường có gần 70 năm hình thành và phát triển.""]"
Trường Nông Lâm được thành lập bao lâu rồi?,"[""Trường đã phát triển gần 70 năm."", ""Lịch sử trường kéo dài gần 70 năm."", ""Trường có gần 70 năm hình thành và phát triển.""]"
Trường Đại học Nông Lâm có bao nhiêu năm hoạt động?,"[""Trường đã phát triển gần 70 năm."", ""Lịch sử trường kéo dài gần 70 năm."", ""Trường có gần 70 năm hình thành và phát triển.""]"
