question,answer
Trường Đại học Nông Lâm Thành phố Hồ Chí Minh được thành lập vào năm nào và hiện nay nằm ở đâu?,"Trường được thành lập vào năm 1955 với tên gọi Trường Đại học Nông Lâm và hiện nay nằm ở Thành phố Thủ Đức, Thành phố Hồ Chí Minh và Thành phố Dĩ An - Tỉnh Bình Dương."
Trường Đại học Nông Lâm Thành phố Hồ Chí Minh có diện tích bao nhiêu và đã đạt được những thành tích gì?,"Trường có diện tích 118 ha và đã đạt được các thành tích như Huân chương Lao động Hạng ba, Huân chương Lao động Hạng nhất, Huân chương Độc lập Hạng ba."
Trường Đại học Nông Lâm Thành phố Hồ Chí Minh từng có quan hệ gì với Đại học Quốc gia TP. Hồ Chí Minh và hiện tại thuộc cơ quan nào?,"Trường từng là thành viên của Đại học Quốc gia TP. Hồ Chí Minh từ năm 1995 đến năm 2000, hiện tại trực thuộc Bộ Giáo dục và Đào tạo."
Trường Đại học Nông Lâm Thành phố Hồ Chí Minh đã trải qua bao nhiêu năm phát triển và hoạt động trong những lĩnh vực nào?,"Trường đã trải qua gần 70 năm phát triển (từ 1955 đến nay) và hoạt động trong các lĩnh vực đào tạo, nghiên cứu và ứng dụng khoa học kỹ thuật nông lâm ngư nghiệp, chuyển giao công nghệ, quan hệ quốc tế."
Tên gọi của Trường Đại học Nông Lâm Thành phố Hồ Chí Minh vào năm 1975 là gì và trường có diện tích bao nhiêu?,"Vào năm 1975, trường có tên gọi là Trường Đại học Nông nghiệp 4 và hiện nay có diện tích 118 ha."
Sứ mạng của Trường Đại học Nông Lâm TP.HCM là gì và trường có bao nhiêu ký túc xá?,"Sứ mạng của trường là đào tạo nguồn nhân lực có chuyên môn tốt và tư duy sáng tạo; thực hiện nghiên cứu, phát triển, phổ biến, chuyển giao tri thức - công nghệ, đáp ứng nhu cầu phát triển bền vững kinh tế - xã hội của Việt Nam và khu vực. Trường có 6 ký túc xá."
Trường Đại học Nông Lâm TP.HCM có tầm nhìn gì đến năm 2035 và trường có bao nhiêu giảng đường?,Tầm nhìn của trường là đến năm 2035 trở thành trường đại học nghiên cứu với chất lượng quốc tế. Trường có 6 giảng đường.
Giá trị cốt lõi của trường bao gồm những gì và trường có bao nhiêu trung tâm?,"Giá trị cốt lõi của trường bao gồm: Nhân văn, Nhân bản, Phục vụ, Đổi mới, Hội nhập. Trường có 10 trung tâm."
Mục tiêu chiến lược của trường trong giai đoạn hiện nay là gì và trường có bao nhiêu trung tâm nghiên cứu thí nghiệm?,"Mục tiêu chiến lược của trường là xây dựng và phát triển thành một trường đại học có chất lượng về đào tạo, nghiên cứu, chuyển giao công nghệ và hợp tác quốc tế, sánh vai với các trường đại học tiên tiến trong khu vực và trên thế giới. Trường có 4 trung tâm nghiên cứu thí nghiệm."
Trường Đại học Nông Lâm TP.HCM có bao nhiêu nhóm chiến lược cốt lõi và trường có bao nhiêu ký túc xá?,"Trường có 3 nhóm chiến lược cốt lõi: Đào tạo, Nghiên cứu và phát triển khoa học công nghệ, Phục vụ cộng đồng. Trường có 6 ký túc xá."
Trường có bao nhiêu giảng đường và trường có bao nhiêu trung tâm nghiên cứu thí nghiệm?,Trường có 6 giảng đường và 4 trung tâm nghiên cứu thí nghiệm.
Trường có bao nhiêu ký túc xá và trường có bao nhiêu trung tâm?,Trường có 6 ký túc xá và 10 trung tâm.
Số điện thoại của Khoa Công nghệ Thông tin là gì và website của Phòng Đào tạo là gì?,Số điện thoại của Khoa Công nghệ Thông tin là 028.37242623 và website của Phòng Đào tạo là http://pdt.hcmuaf.edu.vn
Website của Trung tâm Ngoại ngữ là gì và số điện thoại của Khoa Môi trường và Tài nguyên là gì?,Website của Trung tâm Ngoại ngữ là http://cfs.hcmuaf.edu.vn và số điện thoại của Khoa Môi trường và Tài nguyên là 028.37220723
Số điện thoại của Phòng Hợp tác Quốc tế là gì và website của Khoa Kinh tế là gì?,Số điện thoại của Phòng Hợp tác Quốc tế là 028.38966946 và website của Khoa Kinh tế là http://eco.hcmuaf.edu.vn
Website của Khoa Lâm nghiệp là gì và số điện thoại của Trung tâm Dịch vụ Sinh viên là gì?,Website của Khoa Lâm nghiệp là http://ff.hcmuaf.edu.vn và số điện thoại của Trung tâm Dịch vụ Sinh viên là 028.38963346
Số điện thoại của Phòng Quản lý Chất lượng là gì và website của Khoa Thủy sản là gì?,Số điện thoại của Phòng Quản lý Chất lượng là 0283.7245870 và website của Khoa Thủy sản là https://fof.hcmuaf.edu.vn
Website của Trung tâm Nghiên cứu biến đổi khí hậu là gì và số điện thoại của Khoa Công nghệ Hóa học và Thực phẩm là gì?,Website của Trung tâm Nghiên cứu biến đổi khí hậu là https://rccc.hcmuaf.edu.vn và số điện thoại của Khoa Công nghệ Hóa học và Thực phẩm là 028.38960871
Số điện thoại của Phòng Thanh tra giáo dục là gì và website của Khoa Khoa học Sinh học là gì?,Số điện thoại của Phòng Thanh tra giáo dục là 028.37245195 và website của Khoa Khoa học Sinh học là http://biotech.hcmuaf.edu.vn
Website của Khoa Quản lý đất đai và Bất động sản là gì và số điện thoại của Trung tâm Tin học ứng dụng là gì?,Website của Khoa Quản lý đất đai và Bất động sản là http://lrem.hcmuaf.edu.vn và số điện thoại của Trung tâm Tin học ứng dụng là 028.38961713
Số điện thoại của Phòng Kế hoạch Tài chính là gì và website của Khoa Cơ khí Công nghệ là gì?,Số điện thoại của Phòng Kế hoạch Tài chính là 028.38963334 và website của Khoa Cơ khí Công nghệ là http://fme.hcmuaf.edu.vn
Website của Trung tâm Ươm tạo doanh nghiệp công nghệ là gì và số điện thoại của Khoa Nông học là gì?,Website của Trung tâm Ươm tạo doanh nghiệp công nghệ là http://tbi.hcmuaf.edu.vn và số điện thoại của Khoa Nông học là 028.38961710
Số điện thoại của Viện Nghiên cứu Công nghệ Sinh học và Môi trường là gì và website của Phòng Công tác Sinh viên là gì?,Số điện thoại của Viện Nghiên cứu Công nghệ Sinh học và Môi trường là 028.37220294 và website của Phòng Công tác Sinh viên là http://nls.hcmuaf.edu.vn
Website của Bộ môn Lý luận Chính trị là gì và số điện thoại của Phòng Thông tin và Truyền thông là gì?,Website của Bộ môn Lý luận Chính trị là http://bmllct.hcmuaf.edu.vn và số điện thoại của Phòng Thông tin và Truyền thông là 028.35359097
Khoa Cơ khí - Công nghệ phụ trách ngành nào và chương trình tiên tiến nào được đào tạo tại trường?,Khoa Cơ khí - Công nghệ phụ trách ngành Công nghệ kỹ thuật cơ khí và chương trình tiên tiến là Bác sĩ thú y.
Khoa Công nghệ Thông tin phụ trách ngành nào và chương trình nâng cao nào được đào tạo tại trường?,Khoa Công nghệ Thông tin phụ trách ngành Công nghệ Thông tin và chương trình nâng cao là Công nghệ sinh học.
Khoa Quản lý đất đai và Bất động sản phụ trách ngành nào và ngành nào được đào tạo tại Phân hiệu Gia Lai?,Khoa Quản lý đất đai và Bất động sản phụ trách ngành Quản lý đất đai và ngành tại Phân hiệu Gia Lai là Bất động sản.
