question,answer
"Theo điều tra dân số năm 2000, tổng số dân số quận là bao nhiêu?",3.730 người
"Trong ba kênh YouTube, kênh nào có số lượng người đăng ký cao nhất tính đến các ngày cập nhật gần nhất?",Muse Việt Nam
Quốc gia nào có tỉ lệ tăng số ca tử vong cao nhất trong ngày?,Quốc gia có tỉ lệ tăng số ca tử vong cao nhất trong ngày là Anh
Tỉ lệ hộ gia đình có trẻ em dưới 18 tuổi sống chung có cao hơn tỉ lệ các cặp vợ chồng sống với nhau không?,Không
Tổng kinh phí dành cho việc chỉnh trang công viên là bao nhiêu trong năm 2021?,65 tỷ đồng
"Tính đến 12 tháng Bảy, tổng số ca nhiễm của ba bang nhiều ca nhất ở Đức là bao nhiêu?","Tính đến 12 tháng Bảy, tổng số ca nhiễm của ba bang nhiều ca nhất ở Đức là 130.160 ca"
Chủng tộc nào có tỷ lệ phần trăm cao nhất trong cơ cấu dân số của quận?,Người da trắng
thôn Quyết Thanh 1 có dân số lớn hay nhỏ hơn thôn Thiện Sơn,Lớn hơn
Số người nhập cư từ bên ngoài Hoa Kỳ và số người di cư trong nước vào South Carolina từ năm 2010 đến năm 2014 chiếm bao nhiêu phần trăm của tổng dân số tăng thêm trong cùng kỳ?,Số người nhập cư từ bên ngoài Hoa Kỳ và số người di cư trong nước vào South Carolina từ năm 2010 đến năm 2014 chiếm 100% của tổng dân số tăng thêm trong cùng kỳ.
"Trong các thông tin được cung cấp, bao nhiêu sự kiện liên quan đến Scarlett Johansson?",2 sự kiện liên quan đến Scarlett Johansson
Số trận thua liên tiếp nhiều hơn số trận hòa liên tiếp là bao nhiêu?,Số trận thua liên tiếp nhiều hơn số trận hòa liên tiếp là 4 trận.
"Ước tính năm 2007, sự chênh lệch trung bình giữa thu nhập trung bình cho một hộ gia đình trong thành phố và thu nhập trung bình cho một gia đình là bao nhiêu?","$ 6,178"
Đường hạ cất cánh dài hơn đường lăn song song bao nhiêu mét?,Đường hạ cất cánh dài hơn đường lăn song song 846 mét.
Bao nhiêu tập đoàn đã được tính toán tổn thất đến hết tháng 4 năm 1942?,1 tập đoàn quân
Độ tuổi của bệnh nhân thứ hai là bao nhiêu?,32 tuổi
Số nhân khẩu thêm vào từ thị trấn An Lộc cho xã An Phú có nhiều hơn tổng số nhân khẩu thêm vào cho xã Thanh Phú từ cùng thị trấn đó không?,Có
"Tập đoàn quân 49 và 50, trung đoàn pháo tự hành chênh lệch nhau bao nhiêu?","Tập đoàn quân 49 có 6 trung đoàn pháo tự hành, Tập đoàn quân 50 có 2 trung đoàn pháo tự hành. Như vậy, số trung đoàn pháo tự hành của 2 tập đoàn quân chênh lệch nhau là 4 trung đoàn."
quy mô hộ trung bình và quy mô gia đình trung bình chênh lệch bao nhiêu?,0.61
"Theo các báo cáo thương vong trên các mặt trận của quân đội Đức Quốc xã tại Trung tâm lưu trữ tài liệu quốc gia Cộng hòa Liên bang Đức, từ tháng 3 năm 1942 đến tháng 3 năm 1943, tổn thất về người mất tích và người bị thương cộng lại là bao nhiêu người?",35.650 người mất tích + 469.747 người bị thương = 505.397 người
"HCV nữ của bộ môn ""chạy băng đồng cá nhân"" tại Đại hội Thể thao Bãi biển châu Á 2016 có cự li dài hay ngắn hơn HCV nữ trong ""Đại hội Thể thao sinh viên Đông Nam Á"" lần thứ 18 năm 2016 tại Singapore",Ngắn hơn
Số ca nhiễm nCoV ở Anh so với số ca nhiễm ở Italy là nhiều hơn bao nhiêu?,Số ca nhiễm nCoV ở Anh nhiều hơn số ca nhiễm ở Italy là 10.055 ca.
