question,answer
Trường Đại học Nông Lâm Thành phố Hồ Chí Minh được thành lập vào năm nào và hiện nay nằm ở đâu?,"**1.** Trường Đại học Nông Lâm Thành phố Hồ Chí Minh được thành lập vào năm 2000.
**2.** Hiện nay, trường có cơ sở chính tại Khu phố 22-23, Phường Linh Trung, Thành phố Thủ Đức, Thành phố Hồ Chí Minh."
Trường Đại học Nông Lâm Thành phố Hồ Chí Minh có diện tích bao nhiêu và đã đạt được những thành tích gì?,"**1.** Không có thông tin về diện tích của Trường Đại học Nông Lâm Thành phố Hồ Chí Minh.
**2.** Trường Đại học Nông Lâm Thành phố Hồ Chí Minh đã đạt được các thành tích sau:  nhận giải thưởng huân chương lao động hạng nhất, nhận giải thưởng huân chương độc lập hạng ba, nhận giải thưởng huân chương lao động hạng ba."
Trường Đại học Nông Lâm Thành phố Hồ Chí Minh từng có quan hệ gì với Đại học Quốc gia TP. Hồ Chí Minh và hiện tại thuộc cơ quan nào?,"**1.** Năm 1995, Trường Đại học Nông Lâm Thành phố Hồ Chí Minh được thành lập với tư cách là thành viên của Đại học Quốc gia TP. Hồ Chí Minh.
**2.** Không có thông tin về cơ quan mà Trường Đại học Nông Lâm Thành phố Hồ Chí Minh hiện đang trực thuộc."
Trường Đại học Nông Lâm Thành phố Hồ Chí Minh đã trải qua bao nhiêu năm phát triển và hoạt động trong những lĩnh vực nào?,"**1.** Trường Đại học Nông Lâm Thành phố Hồ Chí Minh có thời gian hoạt động 70 năm.
**2.** Trường Đại học Nông Lâm Thành phố Hồ Chí Minh hoạt động trong các lĩnh vực: Đào tạo nguồn nhân lực, Thúc đẩy tinh thần sáng tạo, Thúc đẩy khởi nghiệp, Nghiên cứu khoa học, Hợp tác quốc tế, Chuyển giao công nghệ, Phục vụ cộng đồng."
Tên gọi của Trường Đại học Nông Lâm Thành phố Hồ Chí Minh vào năm 1975 là gì và trường có diện tích bao nhiêu?,"**1.** Năm 1975, trường có tên gọi là trường đại học nông nghiệp 4.
**2.** Không có thông tin."
Sứ mạng của Trường Đại học Nông Lâm TP.HCM là gì và trường có bao nhiêu ký túc xá?,"**1.** Không có thông tin.
**2.** Trường Đại học Nông Lâm TP.HCM sở hữu 6 ký túc xá."
Trường Đại học Nông Lâm TP.HCM có tầm nhìn gì đến năm 2035 và trường có bao nhiêu giảng đường?,"**1.** Không có thông tin.
**2.** Trường Đại học Nông Lâm TP.HCM sở hữu 6 giảng đường."
Giá trị cốt lõi của trường bao gồm những gì và trường có bao nhiêu trung tâm?,"**1.** Giá trị cốt lõi của trường bao gồm: nhân văn gìn giữ và phát huy giá trị truyền thống nhân văn, hội nhập và chia sẻ, đổi mới đề cao chất lượng, đổi mới đề cao hiệu quả, phục vụ xây dựng xã hội học tập.
**2.** Trường Đại học Nông Lâm TP.HCM sở hữu 07 đơn vị trung tâm."
Mục tiêu chiến lược của trường trong giai đoạn hiện nay là gì và trường có bao nhiêu trung tâm nghiên cứu thí nghiệm?,"**1.** Mục tiêu chiến lược của Trường Đại học Nông Lâm TP.HCM trong giai đoạn hiện nay bao gồm: Tiếp tục xây dựng, phát triển thành một trường đại học có chất lượng về đào tạo, nghiên cứu, chuyển giao công nghệ và hợp tác quốc tế, sánh vai với các trường đại học tiên tiến trong khu vực và trên thế giới; Đổi mới hệ thống quản lý - quản trị, nhân sự, thúc đẩy tinh thần sáng tạo và khởi nghiệp, phát huy mọi tài năng và các nguồn lực; Xây dựng môi trường học thuật, nghiên cứu khoa học và phục vụ cộng đồng, trở thành một trong những cơ sở giáo dục đại học hàng đầu Việt Nam; Xây dựng hệ thống cơ sở vật chất, công nghệ thông tin hiện đại, đáp ứng công cuộc đổi mới quản lý - quản trị, đào tạo, nghiên cứu khoa học và phục vụ cộng đồng; Mục tiêu chiến lược cụ thể hóa trong Kế hoạch chiến lược giai đoạn 2021-2025, tầm nhìn đến 2035 với 03 nhóm chiến lược cốt lõi: Đào tạo, Nghiên cứu và phát triển khoa học công nghệ, Phục vụ cộng đồng; Cùng 06 nhóm chiến lược bổ trợ: Phát triển nguồn nhân lực, Bảo đảm chất lượng giáo dục, Hợp tác trong nước và quốc tế, Phát triển công nghệ thông tin, Đầu tư phát triển cơ sở vật chất, Phát triển tài chính.
**2.** Trường Đại học Nông Lâm TP.HCM sở hữu 04 trung tâm nghiên cứu thí nghiệm."
Trường Đại học Nông Lâm TP.HCM có bao nhiêu nhóm chiến lược cốt lõi và trường có bao nhiêu ký túc xá?,"**1.** Trường Đại học Nông Lâm TP.HCM có 03 nhóm chiến lược cốt lõi.
**2.** Trường Đại học Nông Lâm TP.HCM sở hữu 6 ký túc xá."
Trường có bao nhiêu giảng đường và trường có bao nhiêu trung tâm nghiên cứu thí nghiệm?,"**1.** Trường Đại học Nông Lâm TP.HCM sở hữu 6 giảng đường.
**2.** Trường Đại học Nông Lâm TP.HCM sở hữu 04 trung tâm nghiên cứu thí nghiệm."
Trường có bao nhiêu ký túc xá và trường có bao nhiêu trung tâm?,"**1.** Trường Đại học Nông Lâm TP.HCM sở hữu 6 ký túc xá.
**2.** Trường Đại học Nông Lâm TP.HCM sở hữu 07 đơn vị trung tâm."
Số điện thoại của Khoa Công nghệ Thông tin là gì và website của Phòng Đào tạo là gì?,"**1.** Số điện thoại của Khoa Công nghệ Thông tin là 028.37242623.
**2.** Website của Phòng Đào tạo là http://pdt.hcmuaf.edu.vn."
Website của Trung tâm Ngoại ngữ là gì và số điện thoại của Khoa Môi trường và Tài nguyên là gì?,"**1.** Website của Trung tâm Ngoại ngữ là http://cfs.hcmuaf.edu.vn.
**2.** Số điện thoại của Khoa Môi trường và Tài nguyên là 028.37220723."
Số điện thoại của Phòng Hợp tác Quốc tế là gì và website của Khoa Kinh tế là gì?,"**1.** Số điện thoại của Phòng Hợp tác Quốc tế là 028.38966946.
**2.** Website của Khoa Kinh tế là http://eco.hcmuaf.edu.vn."
Website của Khoa Lâm nghiệp là gì và số điện thoại của Trung tâm Dịch vụ Sinh viên là gì?,"**1.** Website của Khoa Lâm nghiệp là http://ff.hcmuaf.edu.vn.
**2.** Số điện thoại của Trung tâm Dịch vụ Sinh viên là 028-38963346."
Số điện thoại của Phòng Quản lý Chất lượng là gì và website của Khoa Thủy sản là gì?,"**1.** Số điện thoại của Phòng Quản lý Chất lượng là 0283.7245870.
**2.** Website của Khoa Thủy sản là https://fof.hcmuaf.edu.vn."
Website của Trung tâm Nghiên cứu biến đổi khí hậu là gì và số điện thoại của Khoa Công nghệ Hóa học và Thực phẩm là gì?,"**1.** Website của Trung tâm Nghiên cứu biến đổi khí hậu là https://rccc.hcmuaf.edu.vn.
**2.** Số điện thoại của Khoa Công nghệ Hóa học và Thực phẩm là 028.38960871."
Số điện thoại của Phòng Thanh tra giáo dục là gì và website của Khoa Khoa học Sinh học là gì?,"**1.** Số điện thoại của Phòng Thanh tra giáo dục là 028.37245195.
**2.** Website của Khoa Khoa học Sinh học là http://biotech.hcmuaf.edu.vn."
Website của Khoa Quản lý đất đai và Bất động sản là gì và số điện thoại của Trung tâm Tin học ứng dụng là gì?,"**1.** Website của Khoa Quản lý đất đai và Bất động sản là http://lrem.hcmuaf.edu.vn.
**2.** Số điện thoại của Trung tâm Tin học ứng dụng là 028.38961713."
Số điện thoại của Phòng Kế hoạch Tài chính là gì và website của Khoa Cơ khí Công nghệ là gì?,"**1.** Số điện thoại của Phòng Kế hoạch Tài chính là 028.38963334.
**2.** Website của Khoa Cơ khí Công nghệ là http://fme.hcmuaf.edu.vn."
Website của Trung tâm Ươm tạo doanh nghiệp công nghệ là gì và số điện thoại của Khoa Nông học là gì?,"**1.** Website của Trung tâm Ươm tạo doanh nghiệp công nghệ là http://tbi.hcmuaf.edu.vn.
**2.** Số điện thoại của Khoa Nông học là 028.38961710."
Số điện thoại của Viện Nghiên cứu Công nghệ Sinh học và Môi trường là gì và website của Phòng Công tác Sinh viên là gì?,"**1.** Số điện thoại của Viện Nghiên cứu Công nghệ Sinh học và Môi trường là 028.37220294.
**2.** Website của Phòng Công tác Sinh viên là http://nls.hcmuaf.edu.vn."
Website của Bộ môn Lý luận Chính trị là gì và số điện thoại của Phòng Thông tin và Truyền thông là gì?,"**1.** Website của Bộ môn Lý luận Chính trị là http://bmllct.hcmuaf.edu.vn.
**2.** Số điện thoại của Phòng Thông tin và Truyền thông là 028.35359097."
Khoa Cơ khí - Công nghệ phụ trách ngành nào và chương trình tiên tiến nào được đào tạo tại trường?,"**1.** Khoa Cơ khí - Công nghệ phụ trách các ngành: công nghệ kỹ thuật cơ khí, công nghệ kỹ thuật cơ điện tử, công nghệ kỹ thuật nhiệt, công nghệ kỹ thuật năng lượng tái tạo, công nghệ kỹ thuật ôtô, kỹ thuật điều khiển và tự động hóa.
**2.** Các chương trình tiên tiến được đào tạo tại trường đại học nông lâm tp. hồ chí minh (nls) bao gồm: công nghệ thực phẩm, bác sĩ thú y."
Khoa Công nghệ Thông tin phụ trách ngành nào và chương trình nâng cao nào được đào tạo tại trường?,"**1.** Khoa Công nghệ Thông tin phụ trách ngành công nghệ thông tin.
**2.** Các chương trình nâng cao được đào tạo tại trường đại học nông lâm tp. hồ chí minh (nls) bao gồm: công nghệ thực phẩm, quản trị kinh doanh."
Khoa Quản lý đất đai và Bất động sản phụ trách ngành nào và ngành nào được đào tạo tại Phân hiệu Gia Lai?,"**1.** Khoa Quản lý đất đai và Bất động sản phụ trách các ngành: ngành quả lý đất đai, bất động sản.
**2.** Các ngành được đào tạo tại Phân hiệu Gia Lai (NLG) bao gồm: Quản trị kinh doanh, Bất động sản, Kế toán, Công nghệ sinh học, Nông học, Lâm nghiệp đô thị, Thú y, Tài nguyên và du lịch sinh thái."
