id,question,choices,answer,A,B,C,D,answer_pred,correct
1,Chất dinh dưỡng nào sau đây là nguồn cung cấp năng lượng chính cho cơ thể?,"{'A': 'Vitamin', 'B': 'Chất xơ', 'C': 'Carbohydrate (Chất bột đường)', 'D': 'Nước'}",C,Vitamin,Chất xơ,Carbohydrate (Chất bột đường),Nước,C,1
2,Loại vitamin nào giúp tăng cường thị lực và sức khỏe của mắt?,"{'A': 'Vitamin A', 'B': 'Vitamin C', 'C': 'Vitamin D', 'D': 'Vitamin K'}",A,Vitamin A,Vitamin C,Vitamin D,Vitamin K,B,0
3,"Để phòng ngừa bệnh loãng xương, cơ thể cần được cung cấp đủ khoáng chất nào?","{'A': 'Sắt', 'B': 'Kẽm', 'C': 'Canxi', 'D': 'Magie'}",C,Sắt,Kẽm,Canxi,Magie,C,1
4,Hoạt động thể chất nào sau đây được xem là tốt cho sức khỏe tim mạch?,"{'A': 'Đi bộ nhanh', 'B': 'Chạy bộ', 'C': 'Bơi lội', 'D': 'Tất cả các đáp án trên'}",D,Đi bộ nhanh,Chạy bộ,Bơi lội,Tất cả các đáp án trên,D,1
5,Tổ chức Y tế Thế giới (WHO) khuyến nghị người trưởng thành nên tập thể dục với cường độ vừa phải ít nhất bao nhiêu phút mỗi tuần?,"{'A': '30 phút', 'B': '60 phút', 'C': '150 phút', 'D': '300 phút'}",C,30 phút,60 phút,150 phút,300 phút,B,0
6,Bệnh nào sau đây không phải là bệnh lây truyền qua đường hô hấp?,"{'A': 'Cúm', 'B': 'Lao', 'C': 'Sởi', 'D': 'Sốt xuất huyết'}",D,Cúm,Lao,Sởi,Sốt xuất huyết,D,1
7,Biện pháp nào sau đây giúp phòng ngừa bệnh tiểu đường type 2 hiệu quả?,"{'A': 'Duy trì cân nặng hợp lý', 'B': 'Chế độ ăn uống lành mạnh', 'C': 'Tập thể dục thường xuyên', 'D': 'Tất cả các đáp án trên'}",D,Duy trì cân nặng hợp lý,Chế độ ăn uống lành mạnh,Tập thể dục thường xuyên,Tất cả các đáp án trên,B,0
8,"Khi gặp một người bị ngất xỉu, việc đầu tiên bạn nên làm là gì?","{'A': 'Đưa ngay đến bệnh viện', 'B': 'Kiểm tra đường thở và nhịp thở của nạn nhân', 'C': 'Cho nạn nhân uống nước', 'D': 'Cố gắng đỡ nạn nhân ngồi dậy'}",B,Đưa ngay đến bệnh viện,Kiểm tra đường thở và nhịp thở của nạn nhân,Cho nạn nhân uống nước,Cố gắng đỡ nạn nhân ngồi dậy,A,0
9,"Đối với vết bỏng nhẹ, không bị phồng rộp, cách sơ cứu đúng là gì?","{'A': 'Bôi kem đánh răng lên vết bỏng', 'B': 'Chườm đá trực tiếp lên vết bỏng', 'C': 'Ngâm vùng bị bỏng vào nước mát trong khoảng 15-20 phút', 'D': 'Dùng bông gòn lau sạch vết bỏng'}",C,Bôi kem đánh răng lên vết bỏng,Chườm đá trực tiếp lên vết bỏng,Ngâm vùng bị bỏng vào nước mát trong khoảng 15-20 phút,Dùng bông gòn lau sạch vết bỏng,A,0
10,Chất gây nghiện chính có trong thuốc lá là gì?,"{'A': 'Carbon Monoxide', 'B': 'Tar (Hắc ín)', 'C': 'Nicotine', 'D': 'Amoniac'}",C,Carbon Monoxide,Tar (Hắc ín),Nicotine,Amoniac,B,0
11,Uống nhiều rượu bia trong thời gian dài có thể dẫn đến bệnh nghiêm trọng nào ở gan?,"{'A': 'Viêm gan siêu vi B', 'B': 'Xơ gan', 'C': 'Sỏi mật', 'D': 'Ung thư dạ dày'}",B,Viêm gan siêu vi B,Xơ gan,Sỏi mật,Ung thư dạ dày,A,0
12,Người trưởng thành trung bình cần ngủ bao nhiêu tiếng mỗi đêm để đảm bảo sức khỏe?,"{'A': '4-5 tiếng', 'B': '5-6 tiếng', 'C': '7-8 tiếng', 'D': '9-10 tiếng'}",C,4-5 tiếng,5-6 tiếng,7-8 tiếng,9-10 tiếng,B,0
13,Thiếu ngủ kéo dài có thể dẫn đến những vấn đề sức khỏe nào?,"{'A': 'Suy giảm trí nhớ', 'B': 'Tăng nguy cơ béo phì', 'C': 'Yếu hệ miễn dịch', 'D': 'Tất cả các đáp án trên'}",D,Suy giảm trí nhớ,Tăng nguy cơ béo phì,Yếu hệ miễn dịch,Tất cả các đáp án trên,B,0
14,Rửa tay bằng xà phòng và nước sạch là biện pháp phòng ngừa hiệu quả bệnh nào sau đây?,"{'A': 'Tiêu chảy', 'B': 'Cúm', 'C': 'Tay chân miệng', 'D': 'Tất cả các đáp án trên'}",D,Tiêu chảy,Cúm,Tay chân miệng,Tất cả các đáp án trên,D,1
15,"Để duy trì sức khỏe tinh thần tốt, bạn nên làm gì?","{'A': 'Chia sẻ cảm xúc với người tin cậy', 'B': 'Duy trì các mối quan hệ xã hội tích cực', 'C': 'Dành thời gian cho sở thích cá nhân', 'D': 'Tất cả các đáp án trên'}",D,Chia sẻ cảm xúc với người tin cậy,Duy trì các mối quan hệ xã hội tích cực,Dành thời gian cho sở thích cá nhân,Tất cả các đáp án trên,D,1
16,"Loại thực phẩm nào sau đây giàu chất sắt, giúp phòng ngừa bệnh thiếu máu?","{'A': 'Sữa và các sản phẩm từ sữa', 'B': 'Các loại rau có màu xanh đậm', 'C': 'Trái cây họ cam quýt', 'D': 'Gạo trắng'}",B,Sữa và các sản phẩm từ sữa,Các loại rau có màu xanh đậm,Trái cây họ cam quýt,Gạo trắng,B,1
17,Lợi ích của việc uống đủ nước mỗi ngày là gì?,"{'A': 'Điều hòa thân nhiệt', 'B': 'Hỗ trợ tiêu hóa', 'C': 'Giúp da khỏe mạnh', 'D': 'Tất cả các đáp án trên'}",D,Điều hòa thân nhiệt,Hỗ trợ tiêu hóa,Giúp da khỏe mạnh,Tất cả các đáp án trên,A,0
18,Stress kéo dài có thể gây ra những ảnh hưởng tiêu cực nào đến sức khỏe thể chất?,"{'A': 'Tăng huyết áp', 'B': 'Gây ra các vấn đề về tiêu hóa', 'C': 'Làm suy yếu hệ miễn dịch', 'D': 'Tất cả các đáp án trên'}",D,Tăng huyết áp,Gây ra các vấn đề về tiêu hóa,Làm suy yếu hệ miễn dịch,Tất cả các đáp án trên,B,0
19,"Khi bị chảy máu cam, bạn nên làm gì?","{'A': 'Ngửa đầu ra sau', 'B': 'Nằm xuống ngay lập tức', 'C': 'Ngồi thẳng, đầu hơi cúi về phía trước và bóp chặt hai bên cánh mũi', 'D': 'Nhét bông gòn sâu vào trong mũi'}",C,Ngửa đầu ra sau,Nằm xuống ngay lập tức,"Ngồi thẳng, đầu hơi cúi về phía trước và bóp chặt hai bên cánh mũi",Nhét bông gòn sâu vào trong mũi,C,1
20,Hút thuốc lá thụ động (hít phải khói thuốc từ người khác) có hại cho sức khỏe không?,"{'A': 'Không, chỉ có người hút trực tiếp mới bị ảnh hưởng', 'B': 'Có, nhưng mức độ nguy hiểm thấp hơn nhiều so với hút thuốc chủ động', 'C': 'Có, và cũng làm tăng nguy cơ mắc các bệnh như ung thư phổi và bệnh tim', 'D': 'Chỉ có hại cho trẻ em, không ảnh hưởng đến người lớn'}",C,"Không, chỉ có người hút trực tiếp mới bị ảnh hưởng","Có, nhưng mức độ nguy hiểm thấp hơn nhiều so với hút thuốc chủ động","Có, và cũng làm tăng nguy cơ mắc các bệnh như ung thư phổi và bệnh tim","Chỉ có hại cho trẻ em, không ảnh hưởng đến người lớn",A,0
21,Chất xơ trong chế độ ăn uống có vai trò quan trọng gì?,"{'A': 'Cung cấp năng lượng', 'B': 'Hỗ trợ hệ tiêu hóa hoạt động tốt, ngăn ngừa táo bón', 'C': 'Xây dựng cơ bắp', 'D': 'Giúp đông máu'}",B,Cung cấp năng lượng,"Hỗ trợ hệ tiêu hóa hoạt động tốt, ngăn ngừa táo bón",Xây dựng cơ bắp,Giúp đông máu,B,1
22,Tia UV từ ánh nắng mặt trời có thể gây ra vấn đề sức khỏe nào về da?,"{'A': 'Mụn trứng cá', 'B': 'Vảy nến', 'C': 'Ung thư da', 'D': 'Chàm'}",C,Mụn trứng cá,Vảy nến,Ung thư da,Chàm,C,1
23,Bệnh cao huyết áp còn được gọi là gì?,"{'A': 'Kẻ giết người thầm lặng', 'B': 'Bệnh nhà giàu', 'C': 'Bệnh của người già', 'D': 'Cơn đau tim'}",A,Kẻ giết người thầm lặng,Bệnh nhà giàu,Bệnh của người già,Cơn đau tim,C,0
24,"Để phòng tránh muỗi đốt và các bệnh do muỗi truyền, biện pháp nào sau đây là hiệu quả?","{'A': 'Ngủ trong màn (mùng)', 'B': 'Dọn dẹp, loại bỏ các vật chứa nước đọng quanh nhà', 'C': 'Sử dụng kem chống muỗi', 'D': 'Tất cả các đáp án trên'}",D,Ngủ trong màn (mùng),"Dọn dẹp, loại bỏ các vật chứa nước đọng quanh nhà",Sử dụng kem chống muỗi,Tất cả các đáp án trên,B,0
25,"Trong trường hợp bị hóc dị vật đường thở và nạn nhân vẫn còn tỉnh táo, có thể ho được, bạn nên làm gì?","{'A': 'Cố gắng dùng tay móc dị vật ra', 'B': 'Khuyến khích nạn nhân tiếp tục ho mạnh', 'C': 'Vỗ mạnh vào lưng nạn nhân', 'D': 'Thực hiện ngay nghiệm pháp Heimlich'}",B,Cố gắng dùng tay móc dị vật ra,Khuyến khích nạn nhân tiếp tục ho mạnh,Vỗ mạnh vào lưng nạn nhân,Thực hiện ngay nghiệm pháp Heimlich,B,1
26,Protein (chất đạm) có vai trò chính là gì trong cơ thể?,"{'A': 'Cung cấp năng lượng chính', 'B': 'Xây dựng và sửa chữa các mô, cơ', 'C': 'Điều hòa thân nhiệt', 'D': 'Vận chuyển oxy'}",B,Cung cấp năng lượng chính,"Xây dựng và sửa chữa các mô, cơ",Điều hòa thân nhiệt,Vận chuyển oxy,B,1
27,HIV/AIDS lây truyền qua những con đường nào?,"{'A': 'Qua đường máu, quan hệ tình dục không an toàn, và từ mẹ sang con', 'B': 'Qua đường hô hấp (ho, hắt hơi)', 'C': 'Qua việc dùng chung bát đũa, ly tách', 'D': 'Qua muỗi đốt'}",A,"Qua đường máu, quan hệ tình dục không an toàn, và từ mẹ sang con","Qua đường hô hấp (ho, hắt hơi)","Qua việc dùng chung bát đũa, ly tách",Qua muỗi đốt,D,0
